artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,sadness,feelings,topic,age
riley green,in love by now,2019,country,windows roll petty singin tan summer dancin long haired cover band coast know dancin probably girl like stay lonely long somebody doin wrong wouldn good track probably prettyin shotgun seat toenail paint pink raybans holdin blonde hair holdin close night losin sleep know sure thinkin bout probably girl like stay lonely long somebody doin wrong wouldn good track probably yeah probably tonight heart hurt like probably yeah probably probably girl like stay lonely long somebody doin wrong wouldn good track probably yeah probably probably,84,0.000773994,0.000773994,0.000773994,0.1775659216273634,0.045315023,0.000773994,0.000773994,0.1378932670849261,0.3387619036407747,0.022904191,0.000773994,0.000773994,0.000773994,0.058973958,0.09838735,obscene,0.014285714
nappy roots,slums,2019,hip hop,baby leave prophit represent slum alright motherfucker crunkin kentucky baghdad pop go manage come think wattn half bout things bear oakland better know coke see folk soul hear momma cryin know know greet party room pound tryna head straight catchin feel insides burnin musta swallow twentyeight drinkin milk magnesia feelin straight murder granddad realestate hook prophit sample play background lyric commercial,61,0.068976185,0.001814882,0.001814882,0.001814882,0.001814882,0.001814882,0.001814882,0.2829747504987123,0.3573765497565207,0.001814882,0.001814882,0.001814882,0.038059306,0.001814882,0.075745586,obscene,0.014285714
gary clark jr.,the governor,2019,blues,meet friend governor make meet face face fault life choice choose meet friend governor lose yeah meet friend governor make meet face face fault life choice choose meet friend governor gonna lose alright,33,0.002024291,0.002024292,0.5360852629471472,0.002024292,0.041679932,0.002024291,0.002024292,0.002024292,0.002024292,0.002024292,0.165056683,0.002024292,0.002024292,0.002024292,0.002024292,world/life,0.014285714
cedric burnside,ain't gonna take no mess,2018,blues,eastside redemption life know talkin bout woah woah woah woah woah yeah yeah fuck yeah yeah yeah fuck niggas shit stop chasin bitch stop yeah exit bring friend friend friend friends bring friend friend friend friends matte black twodoor door jump wanna score score forearm tattoo squad squad squad squad squad squad squad squad shoot walk room eye wide wide wide eye wide wide wide album comin soon yeah chasin bitch bigger plan stayin stayin tap like dance brick dance diamonds like water water shit foggy clean vvss awesome park baby mama drop death warnin yeah yeah fuck yeah yeah yeah fuck niggas shit stop chasin bitch stop yeah fuck niggas stay outside play outside beat like outside outside outside bring outside money bitch niggas funny shit tell real runnin field duck huntin shit plug reup like boop migo know flip give boop yeah mileage baby ball violence baby trigger finger callus baby bare knuckle talent baby wind deuce line fine crash time limotinted ride ridin toaster toaster better pull championship goin dumb nothin somethin bitch woah woah woah woah woah yeah yeah fuck yeah yeah yeah fuck niggas shit stop chasin bitch stop yeah,195,0.04544351,0.041104781,0.000401768,0.000401768,0.1562903916507739,0.008827587,0.000401768,0.044220732,0.4430896392142172,0.000401768,0.09617353,0.08733772,0.000401768,0.000401768,0.000401768,obscene,0.028571429
bebe rexha,knees,2018,pop,sittin park fight touch best friend laugh barely talk wanna hold hand run run need free knees beg pray close doors open windows follow wind blow scar leave need free knees tonight date wanna place feel like stick place wish read mind instead gotta read eye tell lie wanna hold hand run run need free knees beg pray close doors open windows follow wind blow scar leave need free knees tonight free knees knees free knees need free knees beg pray close doors open windows follow wind blow scar leave need free knees tonight,94,0.000634115,0.3942537721736024,0.000634115,0.048940876,0.071703567,0.000634115,0.040449601,0.057037424,0.022848702,0.000634115,0.000634115,0.067945134,0.120453311,0.09113537,0.000634115,violence,0.028571429
matt maeson,hallucinogenics,2018,rock,pushin past limit trippin hallucinogenics cigarette burn finger cause forget rippin sinners cause fuck beginner crawl life say wouldn live cause couldn open shiftin strong tall push past limit trippin hallucinogenics cigarette burn finger cause forget lyric commercial,38,0.002024292,0.3533997890223332,0.2374832769835498,0.002024292,0.002024292,0.002024292,0.002024292,0.2078865766923218,0.08970754,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,violence,0.028571429
dierks bentley,"woman, amen",2018,country,ohhhhhh ohhhh ohhhhhh lose lose mind face know save night give drifter heart home night knees lord know near thank woman amen ohhhhhh ohhhh world shake break need crack shatter heart cause get night knees lord know near thank woman amen give ohhhh give ohhhh give ohhhh give strength ohhhh give ohhhh ohhhh thank woman amen ohhhh ohhhhhh ohhhh ohhhhhh thank moon star forgiveness undying twist turn sure roads tonight fall knees cause lord know gonna shout lungs thank woman amen thank woman amen give ohhhh give ohhhh give ohhhh give strength ohhhh give ohhhh ohhhh thank woman amen ohhhh,100,0.000809717,0.084546623,0.3526975422624195,0.065448531,0.000809717,0.1309029058905878,0.1208312532154856,0.063513665,0.000809717,0.000809717,0.000809717,0.044147673,0.017785571,0.093091113,0.000809717,world/life,0.028571429
adam calhoun,huck fosier,2018,country,song fuckin warn comin motherfuckers diss comin door reply lelelet clear country shit hear move inch years stick shiftin gear write rap crayon hosier like dozen fan know fuckin cousin talkin shit throw hand bitch right switch side ride straight midnight wrong tryin half write song half doin shit build ruin time bitch stage grabbin talkin beers drink braggin can camo ammo seethrough talk tough fuck toss trunk punk hillbilly kill fuck chicken summer time buyin chili touch feel choke hater copenhagen dope fuck mistakin hickhop shit vacant hold hold hold hold fuck time redneck rave shit motherfuckers think wasn gonna talk shit sadly motherfuckin mistake check motherfuckers wanna talk gonna piss somebodies boot motherfuckin reason gonna step bitch motherfuckin problem sure motherfuckin truck bitch think harm teeth zone army quit talkin light upstairs nobodies home nobodies shit fight want unlikely stomp wing boot soft shit fuck pull shotgun bullets wreck body body hear bullshit body go check waitin test runnin mouth safety lord mean react mean hear bunch virgins fuck bitch weak verse curtain oppose fact show game,179,0.000491884,0.03302661,0.000491884,0.000491884,0.000491884,0.010676768,0.041684614,0.071796538,0.5902936426382133,0.075162486,0.1064154827005757,0.024317667,0.000491884,0.000491884,0.000491884,obscene,0.028571429
joe bonamassa,molly o',2018,blues,ship fool sail wasn long till aground hear cry hear wail sound thousand souls take gently delve darkness cold like ghost past raise glass highest tide rise bear east glanmire sleepy irish suitcase redemption ticket ship go distress signal send twentytwo surge wall water turn graveyard blue like ghost past raise glass highest tide rise ship fool sail long till run aground hear mamas weep halifax london dance sacred wall watch black water rise ocean dead inside like ghost past raise glass lie truth fell roll gotta rise fall highest tide rise,92,0.000822368,0.4565768821224403,0.000822368,0.000822369,0.000822368,0.000822368,0.000822368,0.000822368,0.000822368,0.1051576664581978,0.000822369,0.1588216820636866,0.000822369,0.1141232549165458,0.000822368,violence,0.028571429
khalid,this way,2018,pop,trippin bullshit shit feel feel stupid corner put shit wanna leave leave foolish leave scar heart leave brand nice true true absolute yeah excuse ruthless reason crazy feel useless take grant wanna play victim know truth leave scar heart true true absolute try stay night inside push away change fight pride,51,0.001283697,0.001283697,0.001283697,0.042188037,0.026130634,0.001283697,0.001283697,0.256604649,0.1420001920268613,0.001283697,0.001283697,0.001283697,0.001283697,0.4608638392708568,0.001283697,sadness,0.028571429
adam calhoun,public enemy,2018,country,fuck care couple beers yeah nothin lose knock chair yeah gonna nigga nothin dude shit nigga nigga fuck black live matter white dude racist like country hold matter fact sayin listen racism time high america judge color judge character write know know cujo know shit large livin charge givin second fore lose temper stomp head aggression fuck american arrogant aware fuckin towel head like wearin allahu akbar sick hearin terrorists home land little kid poppin walk skinny pant fuck suppose sorry object object mean comin motherfuckin neck fuck threat pretend bitch know gender think offensive think fuckin sensitive censor fuck blur middle finger pussy little sister picture fuck care couple beers yeah nothin lose knock chair yeah pupupupublic enemy number see enemy wantin beef runnin country fuck haters point laugh watch church demun jelly struggle gonna simple bitch trouble start break heart action actin learn play fake strong bitch fraud music wish write song catch clip automatic savage tractors white trash deserve better redneck hillbillies shit expose close casket faster close hosier game,173,0.000496524,0.069421542,0.000496524,0.000496524,0.038975074,0.033279272,0.000496524,0.1368776617825341,0.526427449,0.033250583,0.065898977,0.000496524,0.019081112,0.052220745,0.000496524,obscene,0.028571429
meek mill,24/7 (feat. ella mai),2018,pop,tell want yeah tell need yeah night talkin bout monday wednesday thursday friday saturday sunday monday wednesday thursday friday saturday yeah uhhuhuh lovin shit fuckin shit seven days straight live break forever heart forget crushin monday like wednesday press nigga friends benz listen friends babe tell want need mind need right cause sight mind spite decline hype line time respond tell want yeah woah tell need yeah night night night talkin bout monday wednesday thursday friday saturday sunday monday wednesday thursday friday saturday yeah yeah throwin shit like thursday treatin like everyday birthday hoe fuckin worst level like ferg fell pick crown lift finger push puck hear feel bout baby tell hoe wish luck talkin relationship goals kneel like kaepernick reverend stash weddin ready know cause know worst yeah anniversary bout suit birthday cause know thirsty playin gentle rush trust ladies feel help sing yeah yeah talkin bout monday wednesday thursday friday saturday tell want yeah tell need yeah night talkin bout monday wednesday thursday friday saturday sunday monday wednesday thursday friday saturday yeah yeah take gonna best,178,0.032948149,0.000491884,0.03636748,0.1001124407909727,0.1863032446068826,0.000491884,0.000491884,0.1385454354684773,0.3362641615405765,0.014159038,0.057880864,0.000491884,0.000491884,0.020327747,0.016529516,obscene,0.028571429
fall out boy,champion,2018,rock,champion champion call future know mistake past give give headache madness champion people believe champion dream inside dream young believe believe young know believe young know believe yeah live live live live live live champion champion champion champion lyric commercial,40,0.001697793,0.001697793,0.6751242729892297,0.001697793,0.036207579,0.001697793,0.001697793,0.051675107,0.001697793,0.001697793,0.001697793,0.001697793,0.1464758203260873,0.001697793,0.001697793,world/life,0.028571429
katastro,voodoo,2018,reggae,let roll fuck like feel sound fuck promise lose damn chew spit feel like need damn shit take magic swear shit voodoo gotta waste time gotta bring try want know shit voodoo come fuck shit voodoo roll fuck like chew spit promise lose waste time bring try want know shit voodoo come fuck shit voodoo go loose go deuce bond suit grab money grab loot hop coup hop plane yeah jumpin need parachute fuck shit tell grab bag time feel nothin anymore feel good feel gold fuck shit tell grab bag time feel anymore feel good feel gold golden golden golden,101,0.000634115,0.000634115,0.064944117,0.054830807,0.025225831,0.000634115,0.000634115,0.1073070418732862,0.4744315103366489,0.000634115,0.000634115,0.066046298,0.000634115,0.000634115,0.1408214221691437,obscene,0.028571429
mat kearney,face to face,2018,rock,breakthrough hours hear truth moments trade fake kiss chance forfeit afraid miss feel thunder pourin like rain mountains mistake roll like rivers run ocean embrace hand lead thousand horse couldn pull away hear music heaven stand stand face face face face nights regret swear live rear view compare feel thunder pourin like rain mountains mistake roll like rivers run ocean embrace hand lead thousand horse couldn pull away hear music heaven stand stand face face face face face face face face face face face face face face face face face face face face hand lead thousand horse couldn pull away hear music heaven stand stand face face face face face face face face face face,115,0.000521105,0.6249700701442565,0.000521105,0.000521105,0.000521105,0.000521105,0.000521105,0.000521105,0.000521105,0.058886044,0.000521105,0.054927758,0.000521105,0.1333155800105878,0.021479383,violence,0.028571429
the elovaters,hold on,2018,reggae,hold money tight go hold hold hold hold hold light spark hold hold hold hold go swim shark couldn freeze sturdy heart turn color golden stay fade away hold money tight go hold hold hold hold hold light spark hold hold hold hold walk dark hard sturdy heart shine light follow stay fade away stay fade away hold money tight go hold hold hold hold money tight go hold hold hold hold money tight light stick dark heart hold,79,0.000701754,0.000701754,0.000701754,0.000701754,0.000701754,0.000701754,0.4768356716268184,0.000701754,0.1004722595404371,0.000701754,0.000701754,0.1605412295015774,0.000701754,0.1767864190811481,0.062157062,romantic,0.028571429
jeezy,higher learning,2018,hip hop,need weed somebody weed tryna high tryna high yeah somebody weed westside nigga nigga yeah yeah yeah yeah whassup tryna high higher learn nigga look wake ritz damn face face rack jeans waist snow leave shit waste yeah know sip straight like taste haha valet dollars stunt stunt pull mean machine leave arrarr pass thing barely know know imagine shit bout yeah snow streets cold bitch polar polar expectations world think solar yeah kalamazoo cause happen learn soda yeah need weed somebody weed tryna high tryna high bake cake rise motivate factor liver boast bang pour pain thing purple rain brain unravel flame maintain fame picture frame hood blow kush game foot cane walk like indian chief beef real brief wreath think leaf residue stick deep teeth smoke dogg shit cause crip need need weed somebody weed tryna high tryna high coffee good drop fresh know stop somebody weed fiending daydream time mota different kinds fell hard funk fake smoke good smoke shake nugs weed paper twist bowl blunt split sheeit shit cause green scene fuck,176,0.000482859,0.000482859,0.000482859,0.000482859,0.1213587044314403,0.000482859,0.000482859,0.0386611,0.5580196122435054,0.000482859,0.000482859,0.1607161564795992,0.000482859,0.035674234,0.079293032,obscene,0.028571429
waka flocka flame,rock hop (feat. wooh da kid),2018,hip hop,wooh icey boys build flocka hexo flocka flocka flocka shake head wild shake head wild shake head wild party everybody drink smoke wild drink smoke wild drink smoke wild party everybody know waka flocka flame drink crunk chain cause wild pistols like cowboy beat crowd like hotter icey boys beat vision flock duck tat like biker shake head wild shake head wild shake head wild party everybody drink smoke wild drink smoke wild drink smoke wild party everybody drink party hard smoke joke smoke croak mosh quit roll tell shit better right break glass bottle stay throw night bottle cut tight grip matter fuck slip pump fist amped like tat chest wrists hexo waka flocka thing like gutter game maintain like jump stage buss skulls like club owners security piss shake head wild shake head wild shake head wild party everybody drink smoke wild drink smoke wild drink smoke wild party everybody shake head wild kush loud geeked fuck bend lungs go blow pound glock wild child snipe mile mean smile shake head wild shake head wild shake head wild party everybody drink smoke wild drink smoke wild drink smoke wild party everybody,193,0.000358038,0.000358038,0.000358038,0.000358038,0.000358038,0.000358038,0.000358038,0.000358038,0.3804280659118614,0.000358038,0.4817817804826883,0.008881988,0.1235375961776519,0.000358038,0.000358038,obscene,0.028571429
deca,threshold,2018,jazz,fast oracle chaos illumineth infernal serpent throne thunderchaos pentagramma vanquisht karma durst fever defy arm horrible furnace sulphur thread hurl headlong flame ethereal hideous ruin combustion bottomless perdition dwell adamantine chain penal linger flame wrath clothe flavour blood challenge doleful shadow sorrow sight thunderchaos pentagramma everburning mouth adverse wirlwinds tempestuous howl thunder conduct hosannas horror moods warfare threshold demand chant sing chaos utter depths thunder lightning misery hath joint lustre bloodful battle plain heaven twas march abysm forth conquer yeld chaos substance chaos sing heavenly woes symphonic horrors hold fire deep thrall nether storm firmament thunderchaos pentagramma woes heaven dire midnight chime garden hell glimt gold gems heaven giant wirlwinds howl tempestuous conduct hosannas horror thunder ungentle muse unshroud damn alas forbid adverse burn mouth chaos sing utter depths thunder lightning sicknessjoint misery lustre bleed battle plain heaven,138,0.001547988,0.3062609986599159,0.001547988,0.001547988,0.001547988,0.001547988,0.043086918,0.001547988,0.001547988,0.091972089,0.001547988,0.4363943467880296,0.10061382,0.001547988,0.001547988,violence,0.028571429
jimi hendrix,$20 fine,2018,blues,feelin walkin feel like losin mind believe truth know time comin want comer witness world whirlin time dream scheme life heavy dues someday know time comin want comer witness world whirlin time yeah time walkin line dollar line hand hit head gonna wish know time comin want corner witness world whirlin time time walkin line thirty dollar hand punchin ofch night know time comin want corner,66,0.001012146,0.001012146,0.1762207100957574,0.2799457653075308,0.021049649,0.001012146,0.001012146,0.057075555,0.3471428882497331,0.001012146,0.001012146,0.001012146,0.001012146,0.001012146,0.001012146,obscene,0.028571429
mat kearney,memorized,2018,rock,know heart like sleeve right start makin memories bang honda accord buy jeans couldn afford throw party cop shut like better speak makin sound listenin sade playin radio sippin latte draw window feel like second nature read eye need paper memorize memorize lyric commercial,44,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.615603358,0.1121477218935744,0.001697793,0.001697793,0.001697793,0.1779129457649616,0.001697793,obscene,0.028571429
curren$y,boulders,2018,hip hop,drive bout different cars night switch niggas give safe house couple thousand pick gasoline louder kick drum slappers mafia depend budget fast money come life orleans nigga gotta stunt tryna type shit niggas wait organization take bitch bring paper roll weed paper journal entries read aloud record label pay thirty minutes plane board airport race charge nigga play card momma pray lord boulder boost mobile show presence pressure composure lyric commercial,71,0.00122399,0.00122399,0.090444601,0.04679971,0.00122399,0.039866097,0.00122399,0.00122399,0.6637861303716726,0.00122399,0.00122399,0.00122399,0.00122399,0.00122399,0.00122399,obscene,0.028571429
iration,already gold,2018,reggae,stand corner flash plastic smile live california drive couple thousand leave goodbye note know think figure lose come cold play game lose soul move fast control need glitter gold come cold live life play role whoaohoh like tell gold try head right hard cause headline little thing probably burn bridge chase dream probably hard come cold play game lose soul move fast control need glitter gold come cold live life play role whoaohoh like tell gold probably burn bridge chase dream probably hard come cold play game lose soul move fast control need glitter gold come cold live life play role whoaohoh like tell gold come cold play game lose soul move fast control need glitter gold come cold live life play role whoaohoh like tell gold gold,128,0.045440832,0.1399563920282132,0.1287954195049395,0.000469925,0.012888231,0.013354436,0.011532503,0.057011491,0.3246439282977449,0.000469925,0.000469925,0.081253448,0.000469925,0.000469925,0.000469925,obscene,0.028571429
parov stelar,mambo rap,2018,jazz,interest pinterest snapchat insta facebook whatsapp mambo dress sense interest snapback look tinder tonnes tat true tryna scene lactic acid hit quick head backseat interest pinterest snapchat insta facebook whatsapp mambo dress sense interest snapback look tinder tonnes tat true tryna scene lactic acid hit quick head backseat ahhhhh mambo mambo coulda footballer start better good lawyer cause guess party trick hit kid pick kid house party shit interest pinterest snapchat insta facebook whatsapp mambo dress sense interest snapback look tinder tonnes tat guess party trick hit kid pick kid house party shit ahhhhh mambo mambo coulda footballer start better good lawyer cause guess party trick hit kid pick kid house party shit ahhh,114,0.001012146,0.001012146,0.001012146,0.001012146,0.001012146,0.001012146,0.001012146,0.092026957,0.6637972533033131,0.001012146,0.2279814570677284,0.001012146,0.001012146,0.001012146,0.001012146,obscene,0.028571429
post malone,wow.,2018,pop,say tire little money need pull inch blades like everybody flockin need decoy shawty mix vodka lacroix yeah gwagen gwagen gwagen gwagen housewives pullin toy bumpin fall talkin shit begin mmmm feelin forgivin forgivin know piss winnin winnin igloo mouth grinnin grinnin yeah hunnid band pocket hunnid deep roll like army bottle bottle lonely moment sayin hunnid band pocket yeah grandmama probably know know bottle bottle lonely moment sayin catch block like mutombo lambo utah snow skrrt trunk like shit dumbo yeah roof like niptuck pull house butt turn kitchen counter stripclub yeah come guap appear drop stoney care care congratulations pourin shit yeah cause bore goin punt fourth hail touchdown hunnid band pocket hunnid deep roll like army bottle bottle lonely moment sayin hunnid band pocket yeah yeah yeah grandmama probably know yeah yeah bottle bottle lonely moment sayin sayin sayin,142,0.000611995,0.000611995,0.000611995,0.000611995,0.1693823480739015,0.000611995,0.000611995,0.000611995,0.4705244515041106,0.000611995,0.1930971773160207,0.000611995,0.000611995,0.1578160960234949,0.000611995,obscene,0.028571429
popcaan,firm and strong,2018,reggae,problem socalled friends problem girl heap know popcaan know place people know real struggle feel people like squid music like battle fuck hatred grudge midst enemies firm strong mind jealousy defeat firm strong energy need firm strong unruly win mean firm strong strong strong know strong strong strong know friendly media know people believe everyting everyting hear radio fool ting want plan draw matic midst enemies firm strong mind jealousy defeat firm strong energy need firm strong unruly win mean firm strong strong strong know strong strong strong know waan waan photocopy power gain mouth stop supn doubt billions notnice billions skull ghetto youths ungrateful house know button gate pull pretty gyal wing like redbull iron waist know clip cyaa trust dutty nigga skillful midst enemies firm strong mind jealousy defeat firm strong energy need firm strong unruly win mean firm strong strong strong know strong strong strong know energy need firm strong unruly win mean firm strong yeah strong strong know strong strong strong know energy need firm strong unruly win mean firm strong yeah strong strong know strong strong strong know,183,0.000510986,0.000510986,0.000510986,0.000510986,0.057277034,0.000510986,0.000510986,0.3241625405327961,0.085906982,0.021186348,0.000510986,0.013179113,0.030985113,0.000510986,0.4114848705320841,feelings,0.028571429
josh thompson,something's gonna get us all,2017,country,care feel care understand feel pity wealth lose time mind change ways mind change ways stupid fuckers walk astound ground things lose wish harm life pray live life discover fate lose time mind change ways mind change ways,38,0.001697793,0.001697793,0.7056364113834415,0.1365444087361863,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.001697793,0.074747727,0.05760456,world/life,0.042857143
the black angels,estimate,2017,blues,leave spring think lose felt shoot kill children protective raise height lose sensation search home think mistake remember head tuck kind seductive handle gonna lose darling shoot gonna lose darling shoot leave know convert stay poison water leave die protect remember hide kind seductive shoot shoot shoot shoot,48,0.001349528,0.396323183,0.1073401918171222,0.001349528,0.001349528,0.001349528,0.066016836,0.1979423234173877,0.001349528,0.062029063,0.001349528,0.001349528,0.029539174,0.001349528,0.001349528,violence,0.042857143
eli young band,never land,2017,country,word yeah wreck roll lips high good get bottle right right wanna feet cold hard floor kiss steal wanna steal right palm hand fall fall like land head heartbeat hit feel like gravity exist wanna stop know fall fall like land hang like dance stretch song long float like make memories night night wanna feet cold hard floor kiss steal wanna steal right palm hand fall fall like land head heartbeat hit feel like gravity exist wanna stop know fall fall like land fall like land stay get fly wanna feet cold hard floor kiss steal wanna steal right palm hand fall fall like land head heartbeat hit feel like gravity exist wanna stop know fall fall like land fall like land fall like land fall fall fall like land fall fall fall like land fall fall fall like land,140,0.000424448,0.000424448,0.000424448,0.055042303,0.009164811,0.000424448,0.033808553,0.000424448,0.000424448,0.009984511,0.1164638845452461,0.055686083,0.096655077,0.3382963844755167,0.000424448,sadness,0.042857143
ron gallo,poor traits of the artist,2017,blues,single ugly try good line idea scribble catch know doubt beat closer death need need easy blame work weather easy like door floor stand stand luck pursuit pursue cream rise eye bury shortly need need,35,0.001814882,0.4352789511956899,0.001814882,0.072833444,0.1343698779607814,0.033056293,0.001814882,0.1239349812507642,0.001814882,0.001814882,0.001814882,0.001814882,0.001814882,0.001814882,0.069651783,violence,0.042857143
