type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
CASH_IN,170487.98,C2070235352,408.0,170895.98,C1867838836,0.0,0.0,0,0
PAYMENT,5616.38,C1807082692,80399.0,74782.62,M2026325256,0.0,0.0,0,0
PAYMENT,15547.94,C734646830,9944.0,0.0,M548176747,0.0,0.0,0,0
CASH_OUT,35413.26,C245900981,106146.0,70732.74,C783685787,997812.3,1033225.56,0,0
PAYMENT,9363.52,C324388300,4516.04,0.0,M1328523363,0.0,0.0,0,0
TRANSFER,1195918.96,C336904787,71452.0,0.0,C1488359768,153593.85,1349512.81,0,0
PAYMENT,37546.46,C1536683158,101514.0,63967.54,M2062146783,0.0,0.0,0,0
PAYMENT,25973.24,C105435600,145764.0,119790.76,M446820175,0.0,0.0,0,0
CASH_OUT,167006.67,C1535544566,139.0,0.0,C291510224,2602853.52,2769860.19,0,0
CASH_IN,294448.58,C1386415816,7809.0,302257.58,C1731520860,771448.26,509538.25,0,0
CASH_IN,86345.03,C1569572255,5768027.91,5854372.94,C993833375,299041.69,212696.66,0,0
CASH_OUT,65033.44,C1331932400,0.0,0.0,C363727386,597085.16,662118.61,0,0
CASH_OUT,51702.98,C1072899859,0.0,0.0,C141458554,4479825.02,4531528.0,0,0
CASH_IN,82956.26,C201807202,4163159.28,4246115.54,C490150701,8964196.9,8881240.64,0,0
CASH_OUT,143156.56,C788435520,103878.07,0.0,C1096924958,504618.7,647775.26,0,0
PAYMENT,6023.43,C1579380196,107691.29,101667.86,M1371216888,0.0,0.0,0,0
CASH_IN,39929.08,C1261469007,5784403.95,5824333.03,C2099382876,2496215.84,2456286.76,0,0
CASH_OUT,244093.82,C1107207019,0.0,0.0,C1357548651,716464.42,960558.24,0,0
PAYMENT,2975.32,C1381626235,349193.73,346218.41,M453162176,0.0,0.0,0,0
CASH_OUT,287018.79,C17649,8300.0,0.0,C822772711,0.0,287018.79,0,0
CASH_OUT,7635.2,C1196473464,11094.0,3458.8,C1445769656,20963.27,28598.47,0,0
PAYMENT,2622.05,C16779480,514714.6,512092.55,M1316947218,0.0,0.0,0,0
CASH_IN,162997.74,C997044579,5032015.52,5195013.27,C1058634310,3254221.19,3091223.45,0,0
PAYMENT,6796.21,C1312436666,99705.0,92908.79,M300555253,0.0,0.0,0,0
CASH_OUT,93625.57,C948663877,72908.0,0.0,C1942661971,0.0,93625.57,0,0
TRANSFER,573670.15,C1172632376,0.0,0.0,C837263811,1520469.72,2094139.87,0,0
PAYMENT,16984.59,C1880776272,0.0,0.0,M627768654,0.0,0.0,0,0
CASH_OUT,159009.15,C1286142943,0.0,0.0,C711882540,209653.28,368662.43,0,0
PAYMENT,31488.45,C1887142049,31707.0,218.55,M1821888363,0.0,0.0,0,0
CASH_IN,28803.88,C914865263,20630.0,49433.88,C464873396,695864.79,667060.92,0,0
CASH_OUT,53467.04,C1308968700,0.0,0.0,C1806626535,175374.99,228842.04,0,0
CASH_IN,76823.07,C1674111636,99124.0,175947.07,C365054316,1817260.71,1740437.64,0,0
CASH_IN,23662.38,C304794114,8595894.63,8619557.01,C2115087067,1330553.35,1306890.97,0,0
CASH_OUT,67184.34,C1017748456,20530.0,0.0,C227319937,5502943.72,5570128.06,0,0
CASH_OUT,359038.5,C138608653,50817.0,0.0,C1992584614,0.0,359038.5,0,0
CASH_OUT,135282.01,C446866994,0.0,0.0,C777779618,1856448.19,1991730.19,0,0
CASH_OUT,34898.06,C407380616,32072.0,0.0,C1957763225,0.0,34898.06,0,0
CASH_OUT,396971.56,C810633222,0.0,0.0,C1714389830,813670.59,1210642.15,0,0
PAYMENT,2383.55,C1883174829,7965.47,5581.93,M792648499,0.0,0.0,0,0
CASH_OUT,122085.87,C872378633,0.0,0.0,C1869127541,2254110.03,2376195.9,0,0
CASH_OUT,2440.55,C1862984673,50372.0,47931.45,C783382734,24942.0,0.0,0,0
CASH_IN,31232.97,C1828342242,4667443.77,4698676.74,C990248773,202204.19,170971.22,0,0
CASH_IN,53435.9,C590417538,2587882.1,2641318.0,C636447726,1104948.08,1051512.18,0,0
PAYMENT,18895.27,C215123315,20331.0,1435.73,M1059259385,0.0,0.0,0,0
PAYMENT,9370.83,C397393517,33079.0,23708.17,M1779893263,0.0,0.0,0,0
PAYMENT,22665.93,C1077711237,100154.0,77488.07,M1114648028,0.0,0.0,0,0
CASH_OUT,145171.11,C305252186,0.0,0.0,C1510377691,263198.9,408370.01,0,0
TRANSFER,4953461.95,C1373904,136068.77,0.0,C1022628362,8061100.63,13014562.58,0,0
CASH_IN,258432.96,C314373690,3794776.91,4053209.87,C2045572288,4041492.5,3783059.54,0,0
CASH_OUT,18308.66,C1204093735,0.0,0.0,C2062033082,504219.29,522527.94,0,0
CASH_OUT,239724.76,C2115452936,0.0,0.0,C1124805422,3091248.12,3330972.88,0,0
CASH_OUT,65797.59,C1705966817,15823.0,0.0,C1165387528,455905.58,521703.17,0,0
TRANSFER,3038810.36,C1368819496,198875.0,0.0,C1943247680,1284632.38,4323442.74,0,0
CASH_IN,330543.98,C1303122851,4399240.68,4729784.66,C324844411,2920038.19,2589494.21,0,0
CASH_IN,28222.26,C1857626236,18162.0,46384.26,C615419016,415607.05,387384.79,0,0
TRANSFER,1528810.34,C1784824583,0.0,0.0,C256772552,2907470.05,4436280.39,0,0
CASH_OUT,83959.49,C953474090,17719.0,0.0,C69011464,0.0,83959.49,0,0
CASH_OUT,196445.44,C681831467,7091.0,0.0,C67143332,221020.73,417466.17,0,0
CASH_OUT,38701.28,C1283948723,10456.0,0.0,C1368348131,0.0,38701.28,0,0
TRANSFER,11034.32,C835770336,21149.0,10114.68,C1576230372,0.0,11034.32,0,0
CASH_OUT,118419.6,C1120428758,0.0,0.0,C36757979,245548.11,363967.71,0,0
PAYMENT,379.39,C510107102,151324.87,150945.48,M1361955495,0.0,0.0,0,0
PAYMENT,3464.55,C852043489,0.0,0.0,M791197631,0.0,0.0,0,0
PAYMENT,6058.45,C363669875,57293.0,51234.55,M1979753770,0.0,0.0,0,0
PAYMENT,32362.4,C1322761530,20504.0,0.0,M1070002956,0.0,0.0,0,0
TRANSFER,1556094.45,C1311022132,0.0,0.0,C1331852924,2462556.51,4018650.96,0,0
CASH_OUT,156834.77,C86136063,104167.0,0.0,C866129711,0.0,156834.77,0,0
CASH_OUT,102490.45,C290723381,0.0,0.0,C2009468024,112027.53,0.0,0,0
PAYMENT,15874.62,C2142373583,384317.64,368443.01,M1010814665,0.0,0.0,0,0
PAYMENT,22410.65,C1770578068,0.0,0.0,M1927057157,0.0,0.0,0,0
CASH_IN,71598.61,C289641324,43850.0,115448.61,C1858746190,184257.15,112658.54,0,0
TRANSFER,1101166.76,C433797139,101480.0,0.0,C374256236,0.0,1101166.76,0,0
CASH_OUT,108706.51,C359130966,10962.0,0.0,C1069728204,0.0,108706.51,0,0
CASH_OUT,617071.32,C302532733,127099.0,0.0,C16549036,2574901.78,3191973.1,0,0
CASH_OUT,42135.01,C605022664,0.0,0.0,C931627498,1479261.28,1521396.28,0,0
PAYMENT,3101.02,C1908138471,5084.0,1982.98,M1422791171,0.0,0.0,0,0
PAYMENT,26597.36,C174141251,277199.72,250602.36,M255487756,0.0,0.0,0,0
PAYMENT,20079.9,C1597809796,0.0,0.0,M1457664490,0.0,0.0,0,0
PAYMENT,7730.86,C442663552,11889.0,4158.14,M263931414,0.0,0.0,0,0
PAYMENT,9382.0,C623031199,1142345.15,1132963.15,M610401564,0.0,0.0,0,0
CASH_IN,62062.08,C2013777100,4968467.41,5030529.49,C855653520,566175.05,504112.97,0,0
PAYMENT,30422.04,C452287434,0.0,0.0,M479124006,0.0,0.0,0,0
PAYMENT,4496.7,C1327461098,85608.24,81111.54,M1832926179,0.0,0.0,0,0
CASH_IN,31290.18,C1969046453,115133.0,146423.18,C1609380273,1755950.71,1724660.53,0,0
PAYMENT,2315.23,C300278903,0.0,0.0,M833049732,0.0,0.0,0,0
PAYMENT,382.14,C290100078,0.0,0.0,M205151182,0.0,0.0,0,0
CASH_OUT,126792.84,C844584401,22309.0,0.0,C571821483,203995.18,330788.02,0,0
CASH_IN,241363.52,C2088773319,49748.0,291111.52,C1207501911,1180317.99,938954.47,0,0
PAYMENT,8141.38,C1561315451,0.0,0.0,M1635001960,0.0,0.0,0,0
CASH_IN,228735.92,C1895745981,104801.0,333536.92,C1029620370,0.0,0.0,0,0
CASH_OUT,148931.3,C1230566642,0.0,0.0,C1375155635,3433006.93,3581938.23,0,0
TRANSFER,2291919.2,C579661422,93843.0,0.0,C1862634094,0.0,2291919.2,0,0
CASH_IN,12911.26,C693444542,7946356.26,7959267.52,C1264079240,1148729.67,1135818.4,0,0
CASH_IN,100976.57,C135156214,21235686.56,21336663.13,C1809990964,411144.0,310167.43,0,0
PAYMENT,18709.7,C960501698,471.14,0.0,M186176621,0.0,0.0,0,0
PAYMENT,9043.52,C407881680,0.0,0.0,M1682371141,0.0,0.0,0,0
CASH_OUT,148117.32,C1740005222,0.0,0.0,C1605028412,1461797.72,1609915.04,0,0
PAYMENT,32268.86,C1579820577,16140.0,0.0,M555702307,0.0,0.0,0,0
TRANSFER,25795.46,C765201283,0.0,0.0,C175914762,198983.8,224779.27,0,0
PAYMENT,8153.78,C1153521443,17220.0,9066.22,M876997824,0.0,0.0,0,0
CASH_OUT,161645.49,C684003846,0.0,0.0,C1481933174,552442.07,714087.56,0,0
CASH_OUT,71928.8,C972791165,880.0,0.0,C570425905,5992142.48,6064071.28,0,0
CASH_IN,326997.76,C1115712987,1585051.14,1912048.9,C2024064379,1138332.97,811335.21,0,0
PAYMENT,20222.57,C203098057,4807.0,0.0,M547648883,0.0,0.0,0,0
CASH_OUT,141567.04,C281375551,21349.0,0.0,C1122183994,0.0,141567.04,0,0
DEBIT,9377.58,C431377839,21269.0,11891.42,C739169713,396572.84,461334.31,0,0
CASH_OUT,2545.57,C38321250,0.0,0.0,C1545464791,1693022.46,1695568.03,0,0
CASH_IN,42854.65,C1346811697,6518123.06,6560977.71,C1866303187,89103.72,46249.07,0,0
CASH_OUT,286216.76,C2045715060,0.0,0.0,C1133962164,2494587.27,2780804.04,0,0
CASH_OUT,161487.27,C325544070,502.0,0.0,C1611735480,0.0,39468.34,0,0
PAYMENT,1941.38,C160148796,49241.0,47299.62,M980305014,0.0,0.0,0,0
PAYMENT,9684.74,C422632617,278098.45,268413.71,M486779597,0.0,0.0,0,0
PAYMENT,11504.39,C2048841483,62767.0,51262.61,M235152001,0.0,0.0,0,0
PAYMENT,12283.7,C320257070,12140.0,0.0,M843195559,0.0,0.0,0,0
CASH_OUT,119974.68,C1755419617,0.0,0.0,C853731347,429967.82,549942.5,0,0
CASH_IN,110272.78,C1043504793,1536689.48,1646962.26,C1636782933,2908909.03,2798636.26,0,0
CASH_OUT,143758.12,C267838384,79491.0,0.0,C632215038,9176.0,0.0,0,0
PAYMENT,727.52,C1587354580,797.0,69.48,M1720166574,0.0,0.0,0,0
CASH_IN,197882.6,C1227142410,1230021.46,1427904.06,C1417547524,2472256.56,2274373.96,0,0
CASH_IN,207039.64,C1004954302,3262057.73,3469097.37,C512175164,291324.0,84284.36,0,0
PAYMENT,46753.69,C2065145844,0.0,0.0,M1282721878,0.0,0.0,0,0
CASH_IN,168065.75,C352133792,190.0,168255.75,C2133418314,0.0,0.0,0,0
CASH_OUT,332133.21,C1820605871,0.0,0.0,C1332946875,433815.06,765948.27,0,0
PAYMENT,1672.97,C1379853526,231.0,0.0,M359149386,0.0,0.0,0,0
CASH_OUT,285638.28,C1064259766,0.0,0.0,C47093363,335104.93,620743.21,0,0
PAYMENT,5257.78,C684397273,0.0,0.0,M1868738705,0.0,0.0,0,0
CASH_OUT,118283.66,C216965639,0.0,0.0,C709895287,8295378.9,8413662.56,0,0
CASH_OUT,106750.3,C375339899,100064.0,0.0,C63817516,0.0,106750.3,0,0
CASH_OUT,31440.03,C1343465289,0.0,0.0,C1816376093,947947.77,979387.8,0,0
CASH_OUT,74312.03,C1574517056,45744.0,0.0,C705194710,1755939.68,1750148.6,0,0
CASH_IN,180298.71,C815695654,6381445.25,6561743.95,C1417874422,757117.96,576819.25,0,0
CASH_OUT,72626.71,C122852307,159405.0,86778.29,C2030791300,186927.9,259554.61,0,0
CASH_IN,184016.95,C1942261788,3545566.4,3729583.35,C522945366,1911467.44,1727450.49,0,0
CASH_OUT,20104.33,C946456872,0.0,0.0,C1816151862,36152.68,56257.02,0,0
CASH_OUT,118978.81,C769308152,10616.11,0.0,C1852996367,607452.57,726431.39,0,0
CASH_IN,88960.89,C1344579038,9505143.75,9594104.64,C1409988911,2700550.13,2611589.25,0,0
CASH_IN,139473.6,C2004227449,443102.53,582576.13,C849020170,195180.11,55706.51,0,0
CASH_OUT,270620.99,C2114086964,50371.0,0.0,C1833319266,5435318.12,5705939.11,0,0
PAYMENT,27364.47,C1126707519,186503.0,159138.53,M1946622978,0.0,0.0,0,0
CASH_OUT,50788.2,C1108991278,0.0,0.0,C2134090733,2629508.32,2680296.52,0,0
CASH_OUT,89037.22,C1810204579,495490.15,406452.93,C429411048,782037.5,871074.72,0,0
PAYMENT,7544.09,C1583601864,61945.91,54401.82,M1702501914,0.0,0.0,0,0
PAYMENT,2943.48,C1781900389,0.0,0.0,M1685402056,0.0,0.0,0,0
PAYMENT,11324.91,C474512215,15421.41,4096.49,M422617170,0.0,0.0,0,0
CASH_OUT,274713.79,C1317204726,363.0,0.0,C1822001439,768762.0,1043475.79,0,0
CASH_OUT,178266.87,C1124482005,0.0,0.0,C521984510,1354310.19,1532577.06,0,0
CASH_IN,253916.55,C132881828,9940484.48,10194401.03,C416402555,906182.19,652265.64,0,0
PAYMENT,43086.68,C460761092,327209.39,284122.71,M575741777,0.0,0.0,0,0
PAYMENT,6291.77,C464350440,10933.0,4641.23,M494771637,0.0,0.0,0,0
CASH_IN,379695.42,C1037278349,4928617.11,5308312.54,C1201285318,1046056.47,666361.05,0,0
PAYMENT,4693.41,C920675696,0.0,0.0,M1634588134,0.0,0.0,0,0
CASH_OUT,144538.69,C428338632,39732.0,0.0,C1332119040,10418.79,154957.48,0,0
CASH_IN,358390.86,C1783663210,3926635.73,4285026.59,C893322187,5301927.49,4943536.63,0,0
PAYMENT,7323.33,C831731,6396.0,0.0,M1953527084,0.0,0.0,0,0
TRANSFER,852292.33,C1564435463,5725.0,0.0,C2006539591,0.0,852292.33,0,0
CASH_OUT,324507.15,C334345382,448886.0,124378.85,C409090420,0.0,324507.15,0,0
CASH_IN,304437.82,C977009504,9449007.25,9753445.07,C39164378,828197.8,523759.98,0,0
CASH_OUT,87769.67,C1532392964,0.0,0.0,C1707636702,1090521.62,1178291.3,0,0
CASH_IN,70628.86,C1372560749,21926148.88,21996777.74,C1654951352,1862360.28,2192856.56,0,0
PAYMENT,16643.33,C697552334,20907.0,4263.67,M429468714,0.0,0.0,0,0
PAYMENT,6447.51,C2063289951,81573.47,75125.97,M1296283532,0.0,0.0,0,0
CASH_IN,254469.94,C1631686523,5773973.98,6028443.92,C186674591,442175.31,187705.38,0,0
CASH_IN,247030.0,C70810092,6192066.11,6439096.1,C704841092,2524807.71,2277777.71,0,0
CASH_IN,231476.07,C1375894863,4118351.72,4349827.79,C267811738,908329.33,676853.26,0,0
CASH_IN,250426.18,C695192142,49960.0,300386.18,C1100131401,101296.34,0.0,0,0
TRANSFER,1107661.15,C1339153447,0.0,0.0,C658367365,2637034.05,3744695.2,0,0
CASH_IN,79972.63,C468064825,3095186.5,3175159.13,C68794729,181469.45,101496.82,0,0
TRANSFER,690471.98,C634450114,111861.0,0.0,C1488648836,0.0,690471.98,0,0
CASH_OUT,51371.5,C1604821298,0.0,0.0,C1482598591,571553.68,622925.17,0,0
PAYMENT,5926.42,C903242796,31431.76,25505.34,M2036861011,0.0,0.0,0,0
TRANSFER,5172834.1,C107513456,21115.0,0.0,C1942445684,929955.56,6102789.66,0,0
PAYMENT,993.36,C1568142972,0.0,0.0,M667113659,0.0,0.0,0,0
PAYMENT,5517.88,C248250683,91493.32,85975.44,M343205904,0.0,0.0,0,0
PAYMENT,7535.35,C51825285,410.0,0.0,M1132078059,0.0,0.0,0,0
PAYMENT,6665.12,C205011613,177945.68,171280.56,M1099952648,0.0,0.0,0,0
CASH_OUT,144278.1,C437758749,14466.0,0.0,C1338555203,0.0,144278.1,0,0
CASH_OUT,10805.02,C41031922,189924.55,179119.54,C1913709498,155039.77,165844.78,0,0
PAYMENT,25865.05,C1972408862,0.0,0.0,M74528812,0.0,0.0,0,0
PAYMENT,39369.34,C2086030134,0.0,0.0,M1853972737,0.0,0.0,0,0
CASH_OUT,332919.21,C2061099612,0.0,0.0,C1897992858,454492.29,787411.5,0,0
CASH_OUT,238118.03,C627234605,12335.0,0.0,C213353224,927113.1,1165231.12,0,0
PAYMENT,7093.51,C1739779665,11787.0,4693.49,M1490886481,0.0,0.0,0,0
PAYMENT,4079.73,C1602062409,14933.0,10853.27,M848028874,0.0,0.0,0,0
CASH_OUT,14741.65,C1989387649,0.0,0.0,C20257086,463120.25,477861.9,0,0
CASH_OUT,66571.22,C253746012,23281.0,0.0,C1547243538,1735743.17,1802314.39,0,0
PAYMENT,4354.41,C13086962,378.0,0.0,M605506939,0.0,0.0,0,0
TRANSFER,1688074.97,C1542392364,0.0,0.0,C232367596,1947540.37,3635615.34,0,0
PAYMENT,3062.89,C976545338,625946.47,622883.57,M2097948680,0.0,0.0,0,0
TRANSFER,852548.19,C1799832386,0.0,0.0,C1054869685,2820734.51,3673282.69,0,0
PAYMENT,19544.42,C487850544,0.0,0.0,M1723301333,0.0,0.0,0,0
PAYMENT,902.99,C993826313,7105.8,6202.81,M1414414686,0.0,0.0,0,0
CASH_OUT,250299.17,C1724261368,20986.0,0.0,C181158675,1687579.9,1937879.07,0,0
CASH_OUT,27354.66,C1107743058,169846.55,142491.89,C820074591,270331.8,297686.45,0,0
PAYMENT,14.23,C133595236,0.0,0.0,M15260515,0.0,0.0,0,0
CASH_OUT,50328.76,C1181405533,0.0,0.0,C1158891977,13118401.58,13168730.34,0,0
CASH_IN,342314.06,C4774403,107419.0,449733.06,C835219115,5953223.98,5610909.92,0,0
CASH_OUT,126323.89,C219913716,30231.0,0.0,C1809384193,0.0,126323.89,0,0
CASH_OUT,97797.1,C280096078,397.0,0.0,C431687661,3331572.71,3429369.81,0,0
CASH_IN,80276.76,C47703615,20419.0,100695.76,C1191686478,0.0,0.0,0,0
CASH_OUT,127.32,C1652113255,257433.08,257305.76,C2043740871,364216.14,675509.18,0,0
PAYMENT,6563.89,C635314566,11673.0,5109.11,M1103770394,0.0,0.0,0,0
CASH_IN,197242.39,C1057266463,19998.0,217240.39,C194199196,932925.13,735682.74,0,0
PAYMENT,2947.84,C1004579801,0.0,0.0,M130284770,0.0,0.0,0,0
CASH_IN,10486.36,C29313320,26962904.35,26973390.7,C1889474526,726357.61,715871.26,0,0
PAYMENT,14128.28,C16039615,0.0,0.0,M1899473955,0.0,0.0,0,0
CASH_OUT,88078.8,C624460843,5133.0,0.0,C792445117,477256.56,565335.36,0,0
PAYMENT,4118.98,C247699624,0.0,0.0,M1558848432,0.0,0.0,0,0
PAYMENT,3140.09,C1921889846,0.0,0.0,M691173108,0.0,0.0,0,0
PAYMENT,2073.44,C2079650046,0.0,0.0,M1598584998,0.0,0.0,0,0
PAYMENT,18782.6,C422628127,0.0,0.0,M1645599978,0.0,0.0,0,0
PAYMENT,27087.08,C1805509373,0.0,0.0,M690696876,0.0,0.0,0,0
DEBIT,11551.07,C1007551275,152362.0,140810.93,C1046774590,74288.53,85839.61,0,0
CASH_OUT,238715.11,C633464675,0.0,0.0,C1721113163,742619.78,981334.89,0,0
PAYMENT,13102.01,C1168765482,198.0,0.0,M763660738,0.0,0.0,0,0
PAYMENT,6064.9,C1876138413,0.0,0.0,M1365610720,0.0,0.0,0,0
PAYMENT,17214.97,C364617015,14271.0,0.0,M1391375623,0.0,0.0,0,0
CASH_OUT,133492.55,C949838128,33725.0,0.0,C301393822,0.0,133492.55,0,0
PAYMENT,13641.05,C751765297,33545.0,19903.95,M626204071,0.0,0.0,0,0
CASH_OUT,110589.95,C818872229,0.0,0.0,C913422378,4280085.62,4533567.64,0,0
CASH_OUT,33603.89,C1427077808,0.0,0.0,C1545676061,1191209.93,1224813.82,0,0
CASH_IN,35282.55,C1120821214,837.0,36119.55,C1482332825,0.0,0.0,0,0
CASH_OUT,15431.25,C777959903,933.0,0.0,C1077938117,93033.54,108464.79,0,0
CASH_OUT,51604.24,C1012123319,6767.0,0.0,C1331926742,278301.21,329905.45,0,0
CASH_IN,274453.51,C777901631,40149.0,314602.51,C367477637,44804.82,0.0,0,0
CASH_IN,47459.87,C955292512,10807329.3,10854789.17,C1500465030,119345.32,71885.46,0,0
CASH_OUT,141752.49,C1599652788,0.0,0.0,C1085731469,1000273.55,1142026.04,0,0
PAYMENT,3726.67,C1630623877,0.0,0.0,M548299847,0.0,0.0,0,0
CASH_OUT,246275.08,C1476789644,0.0,0.0,C511070166,489070.84,735345.92,0,0
CASH_OUT,124181.75,C1642649020,0.0,0.0,C1586717064,313280.25,437462.0,0,0
PAYMENT,20724.79,C2091271198,0.0,0.0,M1682679087,0.0,0.0,0,0
CASH_OUT,15851.58,C1726476985,21594.53,5742.95,C1146577120,8547117.15,8562968.73,0,0
PAYMENT,22001.76,C11381618,0.0,0.0,M14763002,0.0,0.0,0,0
CASH_OUT,334634.62,C1105967141,0.0,0.0,C926773323,2600186.32,2934820.94,0,0
CASH_OUT,188190.02,C254334509,0.0,0.0,C1762933743,247786.49,435976.51,0,0
PAYMENT,39096.15,C392595859,0.0,0.0,M1345002506,0.0,0.0,0,0
PAYMENT,742.04,C787317710,0.0,0.0,M1847492590,0.0,0.0,0,0
CASH_IN,120318.45,C1388150511,4176365.88,4296684.33,C2139209075,297848.8,177530.35,0,0
DEBIT,5764.73,C1788524964,1269.0,0.0,C1043120369,381003.92,117290.15,0,0
CASH_IN,44847.1,C48910146,1356867.5,1401714.59,C86121777,4374027.23,4329180.13,0,0
CASH_IN,43465.49,C1851867881,776665.43,820130.93,C62713610,2284536.92,2241071.43,0,0
PAYMENT,3473.74,C1412198283,434.0,0.0,M938846030,0.0,0.0,0,0
CASH_OUT,396152.29,C203724591,0.0,0.0,C340900651,1874747.12,2270899.41,0,0
CASH_OUT,373021.32,C357052913,0.0,0.0,C148725989,496612.74,869634.06,0,0
CASH_IN,80235.17,C922760224,9424152.59,9504387.76,C226935607,7792489.32,7712254.15,0,0
CASH_IN,189558.81,C817008327,1547646.41,1737205.21,C1091882852,961356.06,771797.25,0,0
CASH_IN,11058.59,C242911172,14050.0,25108.59,C2094735545,2623606.36,2612547.77,0,0
CASH_OUT,122166.78,C526566710,0.0,0.0,C1764802548,152474.25,274641.03,0,0
PAYMENT,6053.43,C1600726402,195.0,0.0,M436752946,0.0,0.0,0,0
CASH_IN,26892.49,C341250700,27818802.58,27845695.07,C1063474650,355288.4,328395.91,0,0
PAYMENT,11861.97,C803625670,0.0,0.0,M249331373,0.0,0.0,0,0
CASH_IN,87786.75,C1571429103,4826627.31,4914414.07,C876080387,938883.54,851096.79,0,0
PAYMENT,4199.59,C845390072,10700.0,6500.41,M54488287,0.0,0.0,0,0
PAYMENT,15862.17,C1285303081,578.0,0.0,M1124620754,0.0,0.0,0,0
CASH_OUT,81692.01,C1350526108,25661.0,0.0,C246540874,0.0,81692.01,0,0
PAYMENT,1996.42,C362011453,0.0,0.0,M1152232905,0.0,0.0,0,0
CASH_IN,113769.51,C1918832628,85232.0,199001.51,C2019567520,15854.51,0.0,0,0
TRANSFER,13425.88,C939911014,104915.0,91489.12,C931466300,664314.95,1217037.9,0,0
PAYMENT,8433.59,C462201187,359374.41,350940.82,M1159974184,0.0,0.0,0,0
CASH_OUT,43866.8,C95481118,0.0,0.0,C128353266,744742.91,788609.71,0,0
PAYMENT,49846.78,C1504978250,0.0,0.0,M298725142,0.0,0.0,0,0
PAYMENT,54098.99,C581607004,64013.0,9914.01,M191712482,0.0,0.0,0,0
